WithIO,BlockSeg,Schedulers,Width,AbsorbSize,TotalTime,TimeStep,OutputTime
1,6,ws,360,8,0.001,0.0001,0.0001
0,4,ws,360,8,0.001,0.0001,0.0001
1,8,ws,360,8,0.001,0.0001,0.0001
0,8,ws,360,8,0.001,0.0001,0.0001
1,4,ws,360,8,0.001,0.0001,0.0001
0,6,ws,360,8,0.001,0.0001,0.0001
